Category: Shopping

Region,Hydro Flask: (2/23/19 - 2/23/24),Nalgene: (2/23/19 - 2/23/24),YETI: (2/23/19 - 2/23/24),Owala®: (2/23/19 - 2/23/24),Stanley: (2/23/19 - 2/23/24)
Hawaii,29%,<1%,57%,2%,12%
California,40%,1%,35%,2%,22%
South Dakota,28%,1%,33%,4%,34%
Nebraska,27%,1%,37%,4%,31%
Oregon,36%,3%,36%,2%,23%
North Dakota,26%,2%,39%,3%,30%
Arizona,31%,1%,36%,2%,30%
Nevada,36%,2%,34%,3%,25%
Iowa,25%,1%,35%,5%,34%
Utah,24%,2%,28%,6%,40%
New Hampshire,23%,1%,52%,2%,22%
Idaho,25%,3%,36%,2%,34%
Colorado,28%,4%,43%,3%,22%
Montana,22%,5%,48%,1%,24%
Minnesota,25%,3%,42%,4%,26%
Washington,32%,4%,36%,2%,26%
Vermont,25%,4%,51%,1%,19%
Massachusetts,22%,2%,50%,3%,23%
Rhode Island,22%,3%,47%,4%,24%
Connecticut,23%,2%,48%,2%,25%
Alaska,26%,8%,45%,1%,20%
Kansas,21%,2%,40%,4%,33%
Maine,18%,2%,53%,3%,24%
Wisconsin,21%,2%,45%,4%,28%
Wyoming,18%,4%,53%,,25%
New Jersey,24%,1%,44%,3%,28%
Virginia,22%,2%,46%,3%,27%
Pennsylvania,18%,2%,53%,3%,24%
Illinois,20%,2%,48%,3%,27%
Missouri,20%,2%,39%,4%,35%
Texas,16%,1%,49%,2%,32%
Tennessee,17%,2%,40%,4%,37%
Indiana,18%,1%,42%,4%,35%
Michigan,16%,1%,54%,3%,26%
New Mexico,19%,1%,53%,2%,25%
Ohio,17%,1%,49%,4%,29%
North Carolina,16%,3%,48%,4%,29%
Maryland,20%,2%,47%,3%,28%
Delaware,15%,2%,55%,3%,25%
District of Columbia,25%,4%,47%,4%,20%
South Carolina,14%,1%,48%,4%,33%
Kentucky,14%,1%,40%,4%,41%
New York,21%,2%,50%,3%,24%
Alabama,13%,1%,42%,4%,40%
Oklahoma,15%,1%,41%,3%,40%
Arkansas,13%,1%,40%,3%,43%
Georgia,15%,2%,47%,3%,33%
West Virginia,12%,1%,47%,2%,38%
Louisiana,15%,1%,41%,4%,39%
Mississippi,12%,<1%,43%,2%,43%
Florida,13%,1%,54%,2%,30%
