Category: Shopping

Region,Nalgene: (2/23/19 - 2/23/24)
Alaska,100
Maine,87
Montana,87
Colorado,75
Utah,62
Wyoming,62
Idaho,62
Washington,50
Minnesota,50
Oregon,50
South Dakota,50
West Virginia,50
Massachusetts,37
North Carolina,37
District of Columbia,37
Vermont,37
Nebraska,37
Tennessee,37
Rhode Island,37
New Hampshire,37
Hawaii,37
Pennsylvania,37
Missouri,37
Virginia,37
South Carolina,37
Wisconsin,37
Connecticut,37
Kansas,25
Iowa,25
Kentucky,25
New York,25
California,25
New Mexico,25
Georgia,25
Michigan,25
Illinois,25
Nevada,25
Indiana,25
Arizona,25
Ohio,25
Maryland,25
North Dakota,25
New Jersey,12
Arkansas,12
Oklahoma,12
Texas,12
Louisiana,12
Delaware,12
Alabama,12
Florida,12
Mississippi,<1
