Category: Shopping

Region,Owala®: (2/23/19 - 2/23/24)
Utah,100
Iowa,66
Nebraska,58
South Dakota,50
Minnesota,50
Kentucky,50
Wisconsin,50
Alabama,41
Indiana,41
South Carolina,41
North Dakota,41
Tennessee,41
Kansas,41
North Carolina,41
Delaware,41
Ohio,41
Missouri,41
Illinois,33
Massachusetts,33
Maine,33
New Hampshire,33
Virginia,33
Michigan,33
Pennsylvania,33
Oklahoma,33
Rhode Island,33
Colorado,33
Texas,33
Arkansas,33
Hawaii,25
Georgia,25
Connecticut,25
California,25
Louisiana,25
New Jersey,25
Idaho,25
Nevada,25
Mississippi,25
Maryland,25
Washington,25
Florida,25
West Virginia,16
New York,16
Arizona,16
District of Columbia,16
New Mexico,16
Oregon,16
Alaska,16
Wyoming,8
Montana,8
Vermont,
