Category: Shopping

Region,Stanley: (2/23/19 - 2/23/24)
Utah,100
South Dakota,81
Iowa,79
Kentucky,78
Mississippi,76
Alabama,76
Arkansas,76
Nebraska,76
North Dakota,75
Idaho,75
West Virginia,75
Kansas,71
Tennessee,68
South Carolina,66
Oklahoma,65
Texas,65
Missouri,65
Indiana,62
Wyoming,59
Maine,59
Arizona,57
Montana,57
Louisiana,56
Minnesota,55
Wisconsin,55
North Carolina,55
New Hampshire,52
Ohio,52
Georgia,52
Michigan,50
Illinois,50
Florida,49
Pennsylvania,49
Massachusetts,49
Delaware,47
Rhode Island,47
Connecticut,46
New Jersey,44
Virginia,44
Colorado,44
California,43
Maryland,43
Washington,43
Hawaii,42
Nevada,40
New Mexico,40
Oregon,40
Vermont,39
Alaska,33
New York,30
District of Columbia,26
