Category: Shopping

Region,YETI: (2/23/19 - 2/23/24)
Hawaii,100
New Hampshire,75
Maine,72
Wyoming,65
Montana,65
Massachusetts,60
Texas,59
Vermont,58
Pennsylvania,57
Delaware,57
North Dakota,55
Michigan,53
South Carolina,53
Rhode Island,52
West Virginia,52
North Carolina,52
Connecticut,52
Wisconsin,50
Minnesota,50
Nebraska,50
Ohio,49
New Mexico,49
Colorado,48
Florida,47
Kansas,46
South Dakota,46
Alabama,46
Idaho,46
Iowa,45
Virginia,43
Mississippi,43
Georgia,43
Kentucky,42
Illinois,42
Indiana,42
Alaska,41
New Jersey,41
Tennessee,41
Maryland,40
Missouri,39
California,39
Arkansas,39
Utah,39
Arizona,39
New York,38
Oklahoma,37
Oregon,37
Washington,32
Louisiana,32
Nevada,31
District of Columbia,31
