Category: Shopping

Week,Hydro Flask: (United States),Nalgene: (United States),YETI: (United States),Owala®: (United States),Stanley: (United States)
2019-02-24,3,<1,0,0,0
2019-03-03,2,<1,0,0,0
2019-03-10,2,1,<1,0,0
2019-03-17,2,<1,<1,0,0
2019-03-24,2,<1,0,<1,0
2019-03-31,3,<1,0,0,0
2019-04-07,3,<1,0,0,0
2019-04-14,3,<1,0,0,0
2019-04-21,3,1,0,0,0
2019-04-28,3,<1,1,0,0
2019-05-05,3,<1,5,0,<1
2019-05-12,3,1,5,<1,<1
2019-05-19,2,<1,7,0,0
2019-05-26,3,<1,7,0,0
2019-06-02,4,<1,7,0,<1
2019-06-09,4,<1,8,0,0
2019-06-16,4,1,7,0,<1
2019-06-23,6,1,7,0,<1
2019-06-30,5,<1,4,<1,<1
2019-07-07,5,1,1,0,0
2019-07-14,5,<1,0,0,0
2019-07-21,9,<1,<1,0,0
2019-07-28,8,<1,0,0,0
2019-08-04,8,1,<1,0,0
2019-08-11,8,1,0,0,0
2019-08-18,9,1,0,0,0
2019-08-25,8,1,0,0,<1
2019-09-01,9,1,<1,0,0
2019-09-08,7,<1,0,0,<1
2019-09-15,7,<1,0,0,<1
2019-09-22,8,<1,0,0,0
2019-09-29,7,<1,0,0,<1
2019-10-06,6,<1,0,0,<1
2019-10-13,5,<1,0,<1,0
2019-10-20,6,<1,0,0,<1
2019-10-27,6,<1,0,0,<1
2019-11-03,5,<1,0,0,0
2019-11-10,6,1,0,0,<1
2019-11-17,7,<1,<1,0,<1
2019-11-24,20,0,0,0,<1
2019-12-01,12,1,<1,0,<1
2019-12-08,12,<1,0,<1,<1
2019-12-15,11,<1,0,0,<1
2019-12-22,10,<1,0,0,0
2019-12-29,4,<1,<1,0,<1
2020-01-05,6,<1,<1,0,0
2020-01-12,5,<1,0,0,0
2020-01-19,3,1,0,0,<1
2020-01-26,2,<1,<1,<1,<1
2020-02-02,3,<1,0,<1,<1
2020-02-09,3,<1,0,0,0
2020-02-16,2,<1,0,0,1
2020-02-23,2,<1,<1,0,<1
2020-03-01,2,<1,0,<1,0
2020-03-08,2,<1,0,<1,<1
2020-03-15,1,<1,0,0,<1
2020-03-22,2,<1,1,0,0
2020-03-29,1,<1,3,<1,0
2020-04-05,1,<1,5,0,0
2020-04-12,2,<1,6,0,0
2020-04-19,1,<1,7,<1,0
2020-04-26,2,<1,8,0,0
2020-05-03,2,<1,10,<1,<1
2020-05-10,3,<1,8,<1,<1
2020-05-17,2,<1,9,0,0
2020-05-24,2,<1,10,<1,<1
2020-05-31,3,0,11,0,<1
2020-06-07,3,1,13,0,<1
2020-06-14,4,<1,14,0,<1
2020-06-21,3,<1,11,<1,<1
2020-06-28,4,<1,9,0,<1
2020-07-05,3,1,9,0,<1
2020-07-12,4,1,12,<1,<1
2020-07-19,4,1,11,0,<1
2020-07-26,4,<1,12,0,<1
2020-08-02,4,<1,10,0,<1
2020-08-09,5,<1,10,0,0
2020-08-16,4,<1,10,0,0
2020-08-23,3,<1,9,0,<1
2020-08-30,3,1,8,0,<1
2020-09-06,2,<1,8,0,<1
2020-09-13,2,<1,6,0,<1
2020-09-20,2,<1,5,0,<1
2020-09-27,2,<1,6,0,<1
2020-10-04,2,<1,7,0,<1
2020-10-11,2,<1,8,0,<1
2020-10-18,1,<1,7,0,<1
2020-10-25,1,<1,7,0,<1
2020-11-01,1,<1,8,0,0
2020-11-08,3,<1,11,0,<1
2020-11-15,4,<1,15,0,<1
2020-11-22,11,1,27,0,<1
2020-11-29,7,1,25,0,1
2020-12-06,6,<1,23,0,<1
2020-12-13,5,<1,19,0,<1
2020-12-20,4,0,17,0,<1
2020-12-27,3,<1,9,0,<1
2021-01-03,3,0,7,0,<1
2021-01-10,3,<1,6,0,<1
2021-01-17,3,1,6,<1,<1
2021-01-24,3,<1,6,<1,<1
2021-01-31,3,<1,6,0,<1
2021-02-07,3,<1,6,0,0
2021-02-14,2,<1,7,0,<1
2021-02-21,3,<1,8,0,<1
2021-02-28,3,<1,7,0,<1
2021-03-07,2,<1,7,0,<1
2021-03-14,3,<1,7,0,<1
2021-03-21,3,<1,7,0,0
2021-03-28,3,<1,8,0,<1
2021-04-04,1,<1,7,0,0
2021-04-11,1,<1,9,0,1
2021-04-18,1,<1,9,0,<1
2021-04-25,1,1,10,0,1
2021-05-02,1,<1,10,0,<1
2021-05-09,1,<1,10,0,<1
2021-05-16,1,<1,10,0,0
2021-05-23,1,<1,11,1,<1
2021-05-30,1,<1,13,0,1
2021-06-06,1,<1,14,0,1
2021-06-13,<1,<1,16,0,<1
2021-06-20,<1,1,12,0,<1
2021-06-27,1,<1,12,0,<1
2021-07-04,2,1,13,0,<1
2021-07-11,1,<1,13,0,<1
2021-07-18,<1,<1,13,0,<1
2021-07-25,1,<1,13,0,<1
2021-08-01,4,<1,12,<1,<1
2021-08-08,4,1,12,<1,<1
2021-08-15,4,<1,12,<1,<1
2021-08-22,4,<1,12,0,<1
2021-08-29,4,1,11,0,<1
2021-09-05,3,<1,11,0,0
2021-09-12,3,<1,9,0,<1
2021-09-19,3,1,7,0,<1
2021-09-26,5,<1,8,0,<1
2021-10-03,4,0,8,<1,<1
2021-10-10,3,<1,8,<1,1
2021-10-17,4,<1,10,<1,<1
2021-10-24,3,<1,9,<1,<1
2021-10-31,5,<1,12,<1,0
2021-11-07,6,<1,13,0,<1
2021-11-14,7,<1,16,<1,<1
2021-11-21,15,1,40,<1,1
2021-11-28,9,<1,29,<1,1
2021-12-05,8,<1,20,<1,1
2021-12-12,6,1,21,<1,1
2021-12-19,6,<1,17,<1,1
2021-12-26,4,<1,10,<1,<1
2022-01-02,4,<1,7,0,1
2022-01-09,3,<1,8,<1,1
2022-01-16,3,<1,7,0,<1
2022-01-23,4,<1,4,<1,1
2022-01-30,3,<1,7,<1,1
2022-02-06,4,<1,8,0,<1
2022-02-13,3,<1,6,<1,<1
2022-02-20,4,<1,8,<1,<1
2022-02-27,5,1,8,<1,1
2022-03-06,5,<1,8,<1,1
2022-03-13,4,<1,8,1,1
2022-03-20,4,<1,7,<1,2
2022-03-27,4,<1,7,0,1
2022-04-03,4,<1,7,<1,2
2022-04-10,5,<1,8,<1,1
2022-04-17,5,<1,9,0,3
2022-04-24,5,1,10,<1,2
2022-05-01,5,1,11,<1,2
2022-05-08,4,<1,11,<1,2
2022-05-15,5,1,11,0,1
