Category: Shopping

Week,Hydro Flask: (United States),Nalgene: (United States),YETI: (United States),Owala®: (United States),Stanley: (United States)
2023-02-26,4,<1,8,1,9
2023-03-05,4,1,9,1,11
2023-03-12,4,<1,9,1,12
2023-03-19,3,<1,8,1,8
2023-03-26,4,<1,8,1,10
2023-04-02,3,<1,8,1,10
2023-04-09,2,<1,9,1,10
2023-04-16,2,<1,11,1,10
2023-04-23,3,<1,10,1,11
2023-04-30,2,<1,10,1,12
2023-05-07,3,<1,11,1,17
2023-05-14,4,1,10,1,12
2023-05-21,4,1,11,1,10
2023-05-28,6,<1,12,2,9
2023-06-04,5,<1,13,2,11
2023-06-11,4,1,15,1,11
2023-06-18,5,<1,12,2,11
2023-06-25,3,<1,12,2,11
2023-07-02,5,<1,13,2,10
2023-07-09,7,1,13,2,10
2023-07-16,7,1,14,2,11
2023-07-23,6,1,14,2,11
2023-07-30,8,<1,13,3,15
2023-08-06,7,1,13,3,14
2023-08-13,8,1,13,3,15
2023-08-20,6,<1,11,2,15
2023-08-27,6,<1,12,3,14
2023-09-03,4,1,12,2,16
2023-09-10,4,<1,11,2,13
2023-09-17,3,<1,12,2,14
2023-09-24,3,<1,9,2,13
2023-10-01,4,<1,9,2,12
2023-10-08,3,<1,10,2,14
2023-10-15,4,1,10,2,13
2023-10-22,4,1,9,2,18
2023-10-29,4,1,12,3,22
2023-11-05,6,1,14,3,31
2023-11-12,7,<1,17,4,37
2023-11-19,13,<1,44,10,100
2023-11-26,10,<1,32,7,62
2023-12-03,8,1,23,5,51
2023-12-10,9,1,26,6,56
2023-12-17,7,<1,22,4,60
2023-12-24,6,1,16,4,58
2023-12-31,5,<1,11,5,72
2024-01-07,5,<1,11,4,55
2024-01-14,4,<1,9,5,41
2024-01-21,4,1,9,3,34
2024-01-28,5,<1,8,6,32
2024-02-04,4,1,8,6,25
2024-02-11,4,1,7,6,25
2024-02-18,4,1,10,7,20
